competition_id,prize_pool,winner__owner__person_id,winner__pet__dog_id,runner_up__owner__person_id,runner_up__pet__dog_id,special_mention__owner__person_id,special_mention__pet__dog_id,special_mention__prize,runner_up__prize,winner__prize
c-1,11500,p-15,d-21,p-4,d-4,p-7,d-21,1393,1827,3080
c-2,5000,p-6,d-21,p-8,d-24,p-11,d-2,15,37,84
c-3,5000,p-6,d-21,p-1,d-15,p-1,d-15,357,391,454
c-4,11000,p-2,d-31,p-1,d-5,p-21,d-36,173,1528,3343
c-5,2000,p-12,d-8,p-6,d-12,p-21,d-36,221,246,349
c-6,4000,p-3,d-21,p-2,d-31,p-6,d-12,11,729,1838
c-7,14000,p-4,d-4,p-10,d-2,p-12,d-3,191,2019,2020
c-8,5000,p-8,d-24,p-7,d-19,p-6,d-12,379,459,898
c-9,14000,p-7,d-14,p-21,d-7,p-10,d-2,1657,1769,5975
c-10,1000,p-16,d-28,p-11,d-2,p-15,d-21,118,122,147
c-11,8500,p-7,d-21,p-7,d-27,p-12,d-8,194,198,355
c-12,4500,p-1,d-17,p-7,d-14,p-12,d-3,294,1331,2289
c-13,1000,p-7,d-27,p-1,d-11,p-1,d-11,19,24,31
c-14,12500,p-16,d-28,p-7,d-14,p-21,d-7,82,2337,3027
c-15,1000,p-7,d-27,p-11,d-2,p-1,d-5,88,124,597
c-16,2500,p-6,d-12,p-3,d-21,p-8,d-34,60,643,882
c-17,2000,p-8,d-24,p-12,d-8,p-21,d-7,173,694,836
c-18,8500,p-6,d-21,p-1,d-17,p-5,d-17,304,1336,4289
c-19,3000,p-10,d-2,p-21,d-31,p-1,d-15,156,191,436
c-20,2500,p-5,d-17,p-1,d-5,p-7,d-19,220,706,743
c-21,13500,p-8,d-15,p-7,d-19,p-8,d-34,3181,4890,5337
c-22,13000,p-12,d-8,p-6,d-21,p-8,d-15,2093,3199,3316
c-23,1000,p-1,d-5,p-1,d-11,p-1,d-11,110,157,321
c-24,13000,p-21,d-36,p-16,d-28,p-1,d-17,510,3905,5605
c-25,8500,p-10,d-2,p-15,d-21,p-15,d-21,22,580,629
c-26,12500,p-16,d-28,p-15,d-21,p-15,d-21,108,4387,5094
c-27,13000,p-7,d-21,p-7,d-19,p-15,d-21,1916,2025,2525
c-28,3500,p-8,d-34,p-4,d-4,p-12,d-8,210,712,1496
c-29,10000,p-6,d-21,p-1,d-15,p-7,d-27,27,1685,2816
c-30,13000,p-19,d-5,p-7,d-19,p-21,d-31,957,1603,1825
c-31,12500,p-7,d-14,p-11,d-2,p-10,d-2,350,984,1392
c-32,6000,p-21,d-36,p-5,d-17,p-12,d-3,299,2521,2952
c-33,15000,p-1,d-15,p-6,d-12,p-19,d-7,3794,4536,4801
c-34,11500,p-16,d-28,p-19,d-7,p-10,d-2,379,1030,2123
c-35,13000,p-3,d-21,p-1,d-15,p-8,d-15,1000,2798,3058
c-36,13500,p-7,d-21,p-4,d-4,p-2,d-31,185,632,634
c-37,10000,p-16,d-28,p-7,d-14,p-1,d-17,618,2685,2744
c-38,7000,p-21,d-7,p-19,d-9,p-21,d-7,383,980,2276
c-39,3000,p-7,d-21,p-21,d-7,p-21,d-36,84,259,483
c-40,3000,p-1,d-17,p-12,d-3,p-21,d-7,26,28,40
