photo_id,cuteness,rel__owner_id,rel__dog_id
ph-1,0.8434561870825766,p-1,d-17
ph-2,0.20843864074738766,p-1,d-15
ph-3,0.7392385306441308,p-21,d-36
ph-4,0.39093516501099895,p-19,d-5
ph-5,0.4745010306107933,p-5,d-17
ph-6,0.6410718827182265,p-21,d-7
ph-7,0.5351739759216065,p-5,d-17
ph-8,0.5410617426817108,p-21,d-31
ph-9,0.6008242135650652,p-3,d-21
ph-10,0.07890416221259741,p-21,d-36
ph-11,0.5401564323494327,p-5,d-17
ph-12,0.5966021226912848,p-1,d-5
ph-13,0.36320893371970453,p-10,d-2
ph-14,0.3789090745389783,p-16,d-28
ph-15,0.6344960272907109,p-19,d-5
ph-16,0.1340486687538217,p-19,d-5
ph-17,0.8012284172008395,p-21,d-7
ph-18,0.1142498247679693,p-12,d-8
ph-19,0.22215262094795596,p-21,d-36
ph-20,0.5629059246808278,p-7,d-14
ph-21,0.20190833951467144,p-3,d-21
ph-22,0.2080334231606781,p-1,d-11
ph-23,0.25440012210206814,p-3,d-21
ph-24,0.47433239918321735,p-21,d-36
ph-25,0.7969808651145066,p-4,d-4
ph-26,0.184918436444066,p-21,d-7
ph-27,0.13025652599450466,p-21,d-31
ph-28,0.6451554929582719,p-21,d-36
ph-29,0.5775587488936047,p-8,d-34
ph-30,0.327110034678389,p-12,d-3
ph-31,0.047347113161073234,p-8,d-34
ph-32,0.49641110323557763,p-7,d-14
ph-33,0.16214343226008254,p-7,d-21
ph-34,0.6769570286957449,p-21,d-7
ph-35,0.30841406483206707,p-4,d-4
ph-36,0.5700944514960047,p-11,d-2
ph-37,0.12768093406412084,p-7,d-21
ph-38,0.20689066783040447,p-21,d-31
ph-39,0.5589506263387974,p-2,d-31
ph-40,0.38554547289097446,p-1,d-15
ph-41,0.1813790669543092,p-4,d-4
ph-42,0.22911905630226032,p-7,d-21
ph-43,0.44434826747085565,p-8,d-24
ph-44,0.7586306503362205,p-21,d-31
ph-45,0.3126424878570687,p-11,d-2
ph-46,0.1361077030007913,p-12,d-3
ph-47,0.6042320529143235,p-3,d-21
ph-48,0.8040073020090499,p-12,d-8
ph-49,0.4742725033829385,p-11,d-2
ph-50,0.4073139607605156,p-6,d-12
