dog_type__pure,dog_type__neutered,year,month,winner__cid
False,False,2003,7,d-2
False,False,2007,2,d-9
False,False,2018,2,d-5
False,True,2009,12,d-6
False,True,2016,6,d-3
True,False,2002,1,d-3
True,False,2002,3,d-10
True,False,2003,4,d-4
True,False,2004,3,d-3
True,False,2004,4,d-10
True,False,2004,8,d-6
True,False,2005,11,d-10
True,False,2006,4,d-10
True,False,2007,4,d-10
True,False,2008,7,d-2
True,False,2012,10,d-6
True,False,2013,2,d-7
True,False,2015,6,d-5
True,False,2015,10,d-7
True,False,2015,12,d-3
True,False,2016,1,d-9
True,False,2016,5,d-2
True,False,2017,1,d-8
True,False,2017,7,d-9
True,False,2018,12,d-10
True,False,2019,9,d-7
True,False,2020,3,d-7
True,False,2020,9,d-8
True,False,2021,1,d-10
True,True,2002,7,d-7
True,True,2003,11,d-7
True,True,2004,8,d-5
True,True,2004,12,d-6
True,True,2006,7,d-1
True,True,2010,10,d-7
True,True,2012,8,d-10
True,True,2019,7,d-4
True,True,2021,10,d-7
