dog_1__cid,dog_2__cid,place__city,place__zip,place__street_address,place__building__floor,place__building__door
d-2,d-27,Oliviaton,14246,0540 Chavez Lake,7,55
d-1,d-3,North Jennifer,39964,40840 Duane Pass,5,71
d-10,d-3,East Vicki,07038,596 Gary Haven,4,69
d-10,d-2,New Michaelfurt,71154,3858 David Pass,10,8
d-2,d-7,Hillmouth,59715,09636 Brenda Trafficway,3,89
d-11,d-11,Yushire,18083,015 Contreras Knoll,5,55
d-4,d-25,Amandachester,40430,07683 Castro Canyon,1,86
d-15,d-5,North Jennifer,70662,1914 Christopher Locks,17,13
d-16,d-17,Boydchester,84886,06628 Franklin Bypass,2,48
d-36,d-32,East Charles,72543,24892 Stephanie Spur,10,65
d-1,d-12,Martinezton,03484,29223 Eric Meadow,8,4
d-22,d-25,South Johnbury,08865,31344 Kristen Land,16,79
d-12,d-17,Davilaside,17398,8028 Daniel Burgs,35,83
d-6,d-31,Paulburgh,91842,0417 Brown Hollow,10,39
d-13,d-3,North Timothy,21978,1009 Peterson Path,8,75
d-9,d-30,West Alfred,22653,538 Miller Extension,1,67
d-15,d-21,New Williamberg,20557,74318 Christopher Ville,2,56
d-6,d-1,South Brittany,67088,98907 David Hill,8,20
d-27,d-12,Lake Jamesland,21366,365 Hubbard Rest,8,12
d-35,d-1,East Samanthafort,72529,1201 Smith Parkways,5,76
d-24,d-33,Port Steven,12694,271 Boyd Common,2,38
d-2,d-13,New Tiffany,50881,4457 Durham Forks,4,33
d-13,d-4,South Alex,71995,743 Charles Spring,4,71
d-20,d-18,North Alexisland,52437,91984 Perez Inlet,26,88
d-3,d-5,Harmonberg,12281,2319 John Rapids,7,11
d-24,d-31,Cynthiahaven,43166,132 Day Route,7,45
d-33,d-10,Amandaville,19459,61397 Mark Lane,8,13
d-5,d-16,Shawnmouth,62930,38440 Tina Divide,6,97
d-19,d-23,Stewartberg,75361,190 Adams Rapids,47,87
d-19,d-15,Smithport,95374,9438 Smith Manors,9,84
d-30,d-19,Flynnburgh,47964,28331 Katherine Circle,17,88
d-36,d-6,North Chelsey,46226,7374 Brent Isle,38,76
d-33,d-17,Smithside,48425,094 Blackwell Valleys,10,40
