dog_id,name,dob,waist,sex
d-1,Ashley,2012-05-22,38.24719517854033,male
d-2,Steven,2011-01-06,19.41106702174849,male
d-3,Thomas,2017-05-28,32.84236988739747,female
d-4,Sheena,2011-01-01,25.69668189472034,female
d-5,Alexa,2017-08-29,19.766943746386467,female
d-6,Louis,2012-11-27,21.224120088985252,male
d-7,Gregory,2017-07-08,42.32197515868296,female
d-8,Jennifer,2015-07-10,13.5809840043237,female
d-9,Tommy,2018-05-22,36.10504469592489,female
d-10,Victoria,2017-04-21,13.15147927680231,female
d-11,Sheri,2019-09-19,41.80620109450137,female
d-12,Allison,2015-11-06,32.66131016339567,male
d-13,Donald,2014-05-21,28.742332798747526,female
d-14,Lori,2012-10-10,21.346275434609566,male
d-15,Leonard,2011-11-08,41.619477412901105,female
d-16,Laura,2011-03-23,28.148924150448487,female
d-17,David,2013-12-09,17.54100164286171,female
d-18,Michael,2013-05-29,27.08514457950159,male
d-19,Robert,2014-11-03,15.351348097737958,female
d-20,Dana,2018-01-12,30.23975076909492,female
d-21,Bonnie,2013-06-28,10.873464191718108,male
d-22,Whitney,2015-07-28,30.253956153297462,female
d-23,Charlotte,2010-05-18,24.5336961519909,female
d-24,Christy,2016-02-05,31.660519015914012,male
d-25,Kimberly,2013-10-03,21.314740533351305,female
d-26,Jessica,2013-10-30,15.19363229070097,female
d-27,Justin,2013-05-10,23.191040519939257,female
d-28,Rick,2019-10-04,19.765454299367693,female
d-29,Holly,2016-01-31,36.47175748489997,female
d-30,Daniel,2012-05-20,33.73085389550316,female
d-31,Monica,2011-08-10,15.324324760283789,female
d-32,Regina,2013-07-26,10.471666360215387,female
d-33,Jeff,2010-04-19,16.988515003322107,male
d-34,Samantha,2015-02-05,14.357240131010455,female
d-35,Alexander,2011-10-28,23.179556801991197,male
d-36,Madam,2015-09-04,12.0,female
